#fit OSU latency and bandwidth
size	time
1	0.80322314
2	0.69322314
4	0.664937759
8	0.815584416
16	1.064078675
32	1.043917992
64	1.016233091
128	1.126880564
256	1.199053465
512	1.299818569
1024	1.255611163
2048	1.529064202
4096	2.950798817
8192	4.616690958
16384	8.611146436
32768	16.6837407
65536	29.50653468
131072	51.42969506
262144	100.4248923
524288	195.5208818
1048576	395.0936725
2097152	800.5718287
4194304	1823.365212
